function_name,execution_time,memory_used_mb,memory_peak_mb,timestamp
model_fitting,0.021983623504638672,0.00390625,147.66796875,2025-07-27 08:18:21.930170
model_fitting,0.015530586242675781,0.015625,147.6875,2025-07-27 08:18:21.958372
model_fitting,0.01453542709350586,0.0390625,147.73046875,2025-07-27 08:18:21.983149
model_fitting,0.012648582458496094,0.0,147.73046875,2025-07-27 08:18:22.003171
model_fitting,0.02076125144958496,0.0,147.73046875,2025-07-27 08:18:22.032907
model_fitting,0.03625965118408203,0.0,147.734375,2025-07-27 08:18:22.104477
model_fitting,0.009813547134399414,0.01171875,147.75,2025-07-27 08:18:22.131254
model_fitting,0.011156558990478516,0.04296875,147.79296875,2025-07-27 08:18:22.148889
model_fitting,0.01224970817565918,0.00390625,147.796875,2025-07-27 08:18:22.166686
model_fitting,0.006056070327758789,0.0,147.80078125,2025-07-27 08:18:22.179764
model_fitting,0.014130592346191406,0.0,147.80078125,2025-07-27 08:18:22.194315
model_fitting,0.015389442443847656,0.0,147.8046875,2025-07-27 08:18:22.222350
model_fitting,0.014761924743652344,0.01953125,147.82421875,2025-07-27 08:18:22.250847
model_fitting,0.026485919952392578,0.03515625,147.86328125,2025-07-27 08:18:22.292922
model_fitting,0.021207094192504883,0.0,147.86328125,2025-07-27 08:18:22.332111
model_fitting,0.017726898193359375,0.0,147.8671875,2025-07-27 08:18:22.371438
model_fitting,0.018709659576416016,0.0078125,147.875,2025-07-27 08:18:22.405443
model_fitting,0.008590459823608398,0.03125,147.91015625,2025-07-27 08:18:22.426761
model_fitting,0.011209249496459961,0.03515625,147.94921875,2025-07-27 08:18:22.447016
model_fitting,0.004605293273925781,0.0,147.94921875,2025-07-27 08:18:22.460576
model_fitting,0.006163597106933594,0.0,147.94921875,2025-07-27 08:18:22.467226
model_fitting,0.00845956802368164,0.0,147.94921875,2025-07-27 08:18:22.476314
model_fitting,0.007453441619873047,0.0,148.42578125,2025-07-27 08:18:24.415891
model_fitting,0.008131980895996094,0.0,148.42578125,2025-07-27 08:18:24.438934
model_fitting,0.003293752670288086,0.0,148.42578125,2025-07-27 08:18:24.454940
model_fitting,0.012238025665283203,0.01953125,148.4453125,2025-07-27 08:18:24.467503
model_fitting,0.007612705230712891,0.00390625,148.44921875,2025-07-27 08:18:24.484372
model_fitting,0.0028476715087890625,0.00390625,148.453125,2025-07-27 08:18:24.487581
model_fitting,0.002522706985473633,0.0,148.453125,2025-07-27 08:18:24.490317
model_fitting,0.006109714508056641,0.0,148.453125,2025-07-27 08:18:24.496720
model_fitting,0.010959625244140625,0.01171875,148.46484375,2025-07-27 08:18:24.507970
model_fitting,0.009776592254638672,0.0,148.46484375,2025-07-27 08:18:24.529048
model_fitting,0.014904499053955078,0.00390625,148.46875,2025-07-27 08:18:24.552823
model_fitting,0.010309934616088867,0.00390625,148.4765625,2025-07-27 08:18:24.572310
model_fitting,0.00951075553894043,0.03515625,148.51171875,2025-07-27 08:18:24.592850
model_fitting,0.0102386474609375,0.04296875,148.5546875,2025-07-27 08:18:24.612012
model_fitting,0.01137995719909668,0.0234375,148.58203125,2025-07-27 08:18:24.632790
model_fitting,0.012256383895874023,0.0,148.58203125,2025-07-27 08:18:24.651257
model_fitting,0.0033533573150634766,0.0,148.60546875,2025-07-27 08:18:26.545872
model_fitting,0.017887115478515625,0.0,148.60546875,2025-07-27 08:18:26.564347
model_fitting,0.016577959060668945,0.0,148.609375,2025-07-27 08:18:26.595898
model_fitting,0.015369653701782227,0.0,148.609375,2025-07-27 08:18:26.624828
model_fitting,0.011631965637207031,0.01171875,148.625,2025-07-27 08:18:26.648362
model_fitting,0.012864112854003906,0.0,148.625,2025-07-27 08:18:26.669257
model_fitting,0.013755083084106445,0.0,148.625,2025-07-27 08:18:26.690793
model_fitting,0.02126622200012207,0.0,148.625,2025-07-27 08:18:26.731389
model_fitting,0.009167909622192383,0.0,148.625,2025-07-27 08:18:26.750700
model_fitting,0.013862848281860352,0.0,148.625,2025-07-27 08:18:26.776748
model_fitting,0.012522697448730469,0.0,148.625,2025-07-27 08:18:26.798693
model_fitting,0.018444061279296875,0.0,148.625,2025-07-27 08:18:26.829762
model_fitting,0.008928775787353516,0.0,148.625,2025-07-27 08:18:26.848633
model_fitting,0.01336979866027832,0.0,148.625,2025-07-27 08:18:26.862462
model_fitting,0.002767324447631836,0.0,148.62890625,2025-07-27 08:18:26.873824
model_fitting,0.012922525405883789,0.0,148.62890625,2025-07-27 08:18:26.886993
model_fitting,0.01080775260925293,0.0,148.62890625,2025-07-27 08:18:26.906585
model_fitting,0.011130571365356445,0.0,148.7734375,2025-07-27 08:18:29.595718
model_fitting,0.014496564865112305,0.0,148.7734375,2025-07-27 08:18:29.622564
model_fitting,0.008367300033569336,0.0,148.7734375,2025-07-27 08:18:29.641988
model_fitting,0.008897542953491211,0.0,148.7734375,2025-07-27 08:18:29.660291
model_fitting,0.011889934539794922,0.0,148.7734375,2025-07-27 08:18:29.680739
model_fitting,0.011801958084106445,0.0,148.7734375,2025-07-27 08:18:29.700556
model_fitting,0.012252330780029297,0.0,148.7734375,2025-07-27 08:18:29.718878
